participantId,trialId,trialOrder,responseId,stage,status,rejectReason,description,rejectTime,percentComplete,instruction,responsePrompt,answer,correctAnswer,duration,cleanedDuration,startTime,endTime,responseMin,responseMax,configHash,meta
59fa3f3705d1d60001f149da,participantTags,,participantTags,prolific full,,,,,,,,[],,,,,,,,,
59fa3f3705d1d60001f149da,introduction,0.0,prolificId,prolific full,completed,,,,100.0,,Please enter your Prolific ID,59fa3f3705d1d60001f149da,,22020.0,22020.0,2026-04-21T16:35:49.820Z,2026-04-21T16:36:11.840Z,,,36089c66f638dd341e0306766de015d1e50efe153b684fc8944fd96953507d11,"{
  ""taskId"": ""introduction"",
  ""trackTime"": true
}"
59fa3f3705d1d60001f149da,introduction,0.0,windowEvents,prolific full,,,,,,,,"{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":11,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}",,,,,,,,,
59fa3f3705d1d60001f149da,Platelet_slightly_table,1.0,Platelet_slightly_table_alarming,prolific full,completed,,,,100.0,,How alarming does this platelet count result feel to you?,2,,48972.0,48972.0,2026-04-21T16:36:12.309Z,2026-04-21T16:37:01.281Z,,,36089c66f638dd341e0306766de015d1e50efe153b684fc8944fd96953507d11,"{
  ""taskId"": ""Platelet_slightly_table"",
  ""trackTime"": true
}"
59fa3f3705d1d60001f149da,Platelet_slightly_table,1.0,Platelet_slightly_table_urgency,prolific full,completed,,,,100.0,,How urgent of an issue is this platelet count result?,2,,48972.0,48972.0,2026-04-21T16:36:12.309Z,2026-04-21T16:37:01.281Z,,,36089c66f638dd341e0306766de015d1e50efe153b684fc8944fd96953507d11,"{
  ""taskId"": ""Platelet_slightly_table"",
  ""trackTime"": true
}"
59fa3f3705d1d60001f149da,Platelet_slightly_table,1.0,Platelet_slightly_table_action,prolific full,completed,,,,100.0,,Which of the following best describes what you would do in response to your platelet count test result?,Talk to your doctor about this test result at your next regular appointment,,48972.0,48972.0,2026-04-21T16:36:12.309Z,2026-04-21T16:37:01.281Z,,,36089c66f638dd341e0306766de015d1e50efe153b684fc8944fd96953507d11,"{
  ""taskId"": ""Platelet_slightly_table"",
  ""trackTime"": true
}"
59fa3f3705d1d60001f149da,Platelet_slightly_table,1.0,windowEvents,prolific full,,,,,,,,"{""focus"":7,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":103,""mousedown"":11,""mouseup"":11,""resize"":0,""scroll"":21,""visibility"":0}",,,,,,,,,
59fa3f3705d1d60001f149da,Platelet_further_table,2.0,Platelet_further_table_alarming,prolific full,completed,,,,100.0,,How alarming does this platelet count result feel to you?,1,,9029.0,9029.0,2026-04-21T16:37:01.685Z,2026-04-21T16:37:10.714Z,,,36089c66f638dd341e0306766de015d1e50efe153b684fc8944fd96953507d11,"{
  ""taskId"": ""Platelet_further_table"",
  ""trackTime"": true
}"
59fa3f3705d1d60001f149da,Platelet_further_table,2.0,Platelet_further_table_urgency,prolific full,completed,,,,100.0,,How urgent of an issue is this platelet count result?,1,,9029.0,9029.0,2026-04-21T16:37:01.685Z,2026-04-21T16:37:10.714Z,,,36089c66f638dd341e0306766de015d1e50efe153b684fc8944fd96953507d11,"{
  ""taskId"": ""Platelet_further_table"",
  ""trackTime"": true
}"
59fa3f3705d1d60001f149da,Platelet_further_table,2.0,Platelet_further_table_action,prolific full,completed,,,,100.0,,Which of the following best describes what you would do in response to your platelet count test result?,Nothing,,9029.0,9029.0,2026-04-21T16:37:01.685Z,2026-04-21T16:37:10.714Z,,,36089c66f638dd341e0306766de015d1e50efe153b684fc8944fd96953507d11,"{
  ""taskId"": ""Platelet_further_table"",
  ""trackTime"": true
}"
